Risk code,Risk descriptions,Probability_2021_incident,Probability_2021_incident_rate,Probability_2022_incident,Probability_2022_incident_rate,Probability_2023_incident,Probability_2023_incident_rate,Severity_2021_injuries,Severity_2021_fatalities,Severity_2021_injurie_rate,Severity_2021_fatality_rate,Severity_2022_injuries,Severity_2022_fatalities,Severity_2022_injurie_rate,Severity_2022_fatality_rate,Severity_2023_injuries,Severity_2023_fatalities,Severity_2023_injurie_rate,Severity_2023_fatality_rate,Probability_e,Severity_injuries_e,Severity_fatalities_e,Severity_injury_rate_e,Severity_fatality_rate_e
R1,Trapped in or between objects,168,0.054036668,160,0.052527905,106,0.034226671,170,2,51.76613886,0.609013398,163,1,49.63459196,0.304506699,106,2,32.27771011,0.609013398,0.05,146,2,44.56,0.51
R2,Injured whilst lifting or carrying,616,0.198134448,583,0.191398555,597,0.192767194,624,0,190.0121803,0,585,0,178.136419,0,598,0,182.0950061,0,0.19,602,0,183.41,0
R3,"Slip, trip or fall on same level",818,0.263107108,921,0.302363756,910,0.293832741,905,1,275.5785627,0.304506699,946,0,288.0633374,0,923,1,281.0596833,0.304506699,0.29,925,1,281.57,0.2
R4,Fall of person from height,263,0.084593117,213,0.069927774,240,0.077494349,266,9,80.99878197,2.740560292,213,10,64.85992692,3.045066991,240,9,73.0816078,2.740560292,0.08,240,9,72.98,2.84
R5,Striking against fixed or stationary object,283,0.091026053,317,0.104070913,385,0.124313852,291,1,88.61144945,0.304506699,324,0,98.66017052,0,386,0,117.5395859,0,0.11,334,0,101.6,0.1
R6,Striking against or struck by moving object,284,0.0913477,285,0.093565332,346,0.11172102,289,3,88.00243605,0.913520097,288,0,87.69792935,0,346,1,105.3593179,0.304506699,0.10,308,1,93.69,0.41
R7,Stepping on object,21,0.006754583,30,0.009848982,43,0.013884404,23,0,7.00365408,0,30,0,9.135200974,0,43,0,13.09378806,0,0.01,32,0,9.74,0
R8,Exposure to or contact with harmful substance,25,0.008041171,9,0.002954695,7,0.002260252,25,0,7.612667479,0,9,0,2.740560292,0,7,2,2.131546894,0.609013398,0.00,14,1,4.16,0.2
R9,Contact with electricity or electric discharge,6,0.001929881,7,0.002298096,12,0.003874717,9,0,2.740560292,0,7,0,2.131546894,0,12,3,3.65408039,0.913520097,0.00,9,1,2.84,0.3
R10,Trapped by collapsing or overturning object,13,0.004181409,17,0.00558109,5,0.001614466,13,3,3.958587089,0.913520097,17,6,5.176613886,1.827040195,5,1,1.522533496,0.304506699,0.00,12,3,3.55,1.02
R11,Struck by falling object,161,0.05178514,188,0.061720289,150,0.048433968,161,2,49.02557856,0.609013398,190,0,57.85627284,0,150,1,45.67600487,0.304506699,0.05,167,1,50.85,0.3
R12,Struck by moving vehicle,15,0.004824702,12,0.003939593,14,0.004520504,30,0,9.135200974,0,25,0,7.612667479,0,25,1,7.612667479,0.304506699,0.00,27,0,8.12,0.1
R13,Contact with moving machinery or object being machined,196,0.063042779,148,0.048588313,194,0.062641266,198,0,60.29232643,0,148,0,45.06699147,0,194,0,59.07429963,0,0.06,180,0,54.81,0
R14,Drowning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0
R15,Exposure to fire,2,0.000643294,5,0.001641497,5,0.001614466,2,0,0.609013398,0,5,0,1.522533496,0,5,0,1.522533496,0,0.00,4,0,1.22,0
R16,Exposure to explosion,0,0,1,0.000328299,9,0.002906038,0,0,0,0,1,0,0.304506699,0,9,0,2.740560292,0,0.00,3,0,1.02,0
R17,Injured by hand tool,147,0.047282084,105,0.034471438,32,0.01033258,148,0,45.06699147,0,106,0,32.27771011,0,32,0,9.744214373,0,0.03,95,0,29.03,0
R18,Injured by fall of ground,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0
R19,Asphyxiation,5,0.001608234,0,0,0,0,5,4,1.522533496,1.218026797,0,0,0,0,0,0,0,0,0.00,2,1,0.51,0.41
R20,Contact with hot surface or substance,19,0.00611129,10,0.003282994,10,0.003228931,20,0,6.090133983,0,11,0,3.349573691,0,10,0,3.045066991,0,0.00,14,0,4.16,0
R21,Injured by animal,3,0.00096494,4,0.001313198,3,0.000968679,4,0,1.218026797,0,4,0,1.218026797,0,8,0,2.436053593,0,0.00,5,0,1.62,0
R22,Injured in workplace violence,0,0,0,0,0,0,9,0,2.740560292,0,22,0,6.699147381,0,15,0,4.567600487,0,0.00,15,0,4.67,0
