probability,severity,exposure,detectability
0.0706,0.308,0.5775,0.0439
0.1726,0.6263,0.1463,0.0547
0.1726,0.6263,0.1463,0.0547
0.1695,0.6345,0.1444,0.0516
0.1969,0.6328,0.1198,0.0504
0.1452,0.5719,0.2382,0.0446
0.1726,0.6263,0.1463,0.0547
0.1279,0.6298,0.1807,0.0615
0.2417,0.6446,0.0701,0.0435
0.2417,0.6446,0.0701,0.0435
0.1695,0.6345,0.1444,0.0516
0.1726,0.6263,0.1463,0.0547
0.247,0.6302,0.0827,0.04
0.2351,0.6396,0.0626,0.0626
0.1969,0.6328,0.1198,0.0504
0.247,0.6302,0.0827,0.04
0.1245,0.6605,0.1498,0.0652
0.2428,0.6465,0.0594,0.0513
0.1695,0.6345,0.1444,0.0516
0.0914,0.5309,0.2372,0.1406
0.2428,0.6465,0.0594,0.0513
0.2281,0.6114,0.1034,0.057
0.247,0.6302,0.0827,0.04
0.2373,0.6527,0.0667,0.0433
0.1452,0.5719,0.2382,0.0446
0.2373,0.6527,0.0667,0.0433
0.1726,0.6263,0.1463,0.0547
0.1452,0.5719,0.2382,0.0446
